"","lowincome_0_17.CLSC_code","lowincome_0_17.Nom","lowincome_0_17.Den","lowincome_0_17.Year"
"103",9141,185,2900.00102336599,88704
"104",9151,10,666.666666666667,24192
"105",9161,0,0,14112
"106",9171,0,0,4032
"107",10011,5,217.391304347826,2016
"108",10012,5,333.333333333333,2016
"109",10013,5,454.545454545455,4032
"110",10014,60,1925.40322580645,4032
"111",11111,80,2000,2016
"112",11112,60,2727.27272727273,2016
"113",11121,80,1477.1372954076,18144
"114",11131,10,195.376098990557,8064
"115",11132,70,2442.37244237244,10080
"116",11133,0,0,2016
"117",11141,75,1860.69060898062,20160
"118",11211,25,1666.66666666667,2016
"119",12111,115,6388.88888888889,2016
"120",12112,575,21451.2462768052,44352
"121",12113,495,9376.906650301,28224
"122",12114,130,7647.05882352941,2016
"123",12115,90,4887.58111363681,20160
"124",12121,230,6969.69696969697,2016
"125",12131,95,4130.4347826087,2016
"126",12132,285,10555.5555555556,2016
"127",12141,60,2857.14285714286,2016
"128",12151,75,3750,2016
"129",12152,80,2962.96296296296,2016
"130",13111,1560,31737.9733118249,68544
"131",13112,700,12842.5777956703,36288
"132",13113,2000,16024.232432854,36288
"133",13114,3330,26615.4903743965,90720
"134",14111,350,6862.74509803922,2016
"135",14112,500,11363.6363636364,2016
"136",14113,1000,12048.1927710843,2016
"137",14114,405,7788.46153846154,2016
"138",14121,1915,37549.0196078431,2016
"139",14122,1195,25978.2608695652,2016
"140",15111,260,5306.12244897959,2016
"141",15121,360,7346.9387755102,2016
"142",15131,280,5833.33333333333,2016
"143",15141,445,5493.82716049383,2016
"144",15151,1350,25943.2773109244,12096
"145",15161,1855,33998.9212909885,12096
"146",15171,1870,34629.6296296296,2016
"147",16111,2630,24557.7268632719,14112
"148",16112,1205,16627.9461618599,34272
"149",16121,655,15605.5637511013,16128
"150",16122,1115,22554.2937801193,26208
"151",16211,1940,10840.3962618836,34272
"152",16212,1745,13106.262183327,28224
"153",16213,615,26144.7811447811,4032
"154",16221,630,24647.7745307407,24192
"155",16222,960,16842.1052631579,2016
"156",16223,90,3214.28571428571,2016
"157",16231,595,7933.33333333333,2016
"158",16311,1280,34594.5945945946,2016
"159",16321,795,9126.69683257919,10080
"160",16331,175,3723.40425531915,2016
"161",16341,890,15797.5507928924,14112
"162",16342,930,24380.7928348818,14112
"163",16343,170,5862.06896551724,2016
"164",17011,130,2904.8981989415,28224
"165",17012,40,1684.38003220612,30240
"166",18011,0,0,36288
