"","Lowincome_LIM_total.HR_code","Lowincome_LIM_total.Nom","Lowincome_LIM_total.Den","Lowincome_LIM_total.Year"
"1",1011,38755,250440,2011
"2",1012,13630,68665,2011
"3",1013,15075,68700,2011
"4",1014,3250,25840,2011
"5",1100,17470,106980,2011
"6",1211,11290,57120,2011
"7",1212,11645,51700,2011
"8",1223,15970,78590,2011
"9",1234,10870,67770,2011
"10",1235,2965,14655,2011
"11",1246,6930,41120,2011
"12",1247,6170,37450,2011
"13",1258,22290,112190,2011
"14",1269,61300,402995,2011
"15",1301,26635,186050,2011
"16",1302,27175,156235,2011
"17",1303,23400,148845,2011
"18",1304,6345,31355,2011
"19",1305,5900,23550,2011
"20",1306,13390,62140,2011
"21",1307,6075,35850,2011
"22",2401,30045,176695,2011
"23",2402,39345,262160,2011
"24",2403,90455,678305,2011
"25",2404,88290,464005,2011
"26",2405,53340,294890,2011
"27",2406,453845,1844500,2011
"28",2407,45070,340310,2011
"29",2408,17945,122655,2011
"30",2409,8685,70980,2011
"31",2410,1650,12205,2011
"32",2411,15380,81140,2011
"33",2412,50250,395765,2011
"34",2413,50450,392725,2011
"35",2414,57950,450165,2011
"36",2415,74585,529015,2011
"37",2416,174720,1389480,2011
"38",2417,1820,11865,2011
"39",2418,0,0,2011
"40",3526,14540,98140,2011
"41",3527,16550,127040,2011
"42",3530,59555,601525,2011
"43",3531,13560,85875,2011
"44",3533,18745,153790,2011
"45",3534,12035,105585,2011
"46",3535,20555,159440,2011
"47",3536,37825,495440,2011
"48",3537,79785,509640,2011
"49",3538,21330,145995,2011
"50",3539,6830,57880,2011
"51",3540,17465,101680,2011
"52",3541,23060,176450,2011
"53",3542,17115,121715,2011
"54",3543,17025,137310,2011
"55",3544,67680,430110,2011
"56",3546,54540,422810,2011
"57",3547,15290,103505,2011
"58",3549,6300,59070,2011
"59",3551,101235,867090,2011
"60",3552,12055,104100,2011
"61",3553,162945,1289010,2011
"62",3554,7395,73485,2011
"63",3555,15215,110340,2011
"64",3556,10590,79155,2011
"65",3557,9830,82530,2011
"66",3558,25675,192125,2011
"67",3560,54240,469725,2011
"68",3561,22740,174875,2011
"69",3562,18775,139205,2011
"70",3563,3535,22165,2011
"71",3565,59225,499615,2011
"72",3566,26745,255330,2011
"73",3568,66635,381220,2011
"74",3570,111160,1023990,2011
"75",3595,496660,2576025,2011
"76",4601,108965,664580,2011
"77",4602,25195,145140,2011
"78",4603,10105,82650,2011
"79",4604,5455,32260,2011
"80",4605,27395,161285,2011
"81",4701,4385,49220,2011
"82",4702,7205,48595,2011
"83",4703,3120,24160,2011
"84",4704,28430,239375,2011
"85",4705,8970,49280,2011
"86",4706,37825,299110,2011
"87",4707,4750,34060,2011
"88",4708,6590,36775,2011
"89",4709,10500,62500,2011
"90",4710,7540,58035,2011
"91",4711,2105,8145,2011
"92",4712,2515,6805,2011
"93",4713,0,0,2011
"94",4831,30005,252685,2011
"95",4832,135405,1320560,2011
"96",4833,43905,403815,2011
"97",4834,120205,1131455,2011
"98",4835,37650,383650,2011
"99",5911,7955,56355,2011
"100",5912,14700,77485,2011
"101",5913,48510,317365,2011
"102",5914,31300,199950,2011
"103",5921,39155,263050,2011
"104",5922,101350,593220,2011
"105",5923,100060,706310,2011
"106",5931,42365,189305,2011
"107",5932,126325,602595,2011
"108",5933,33875,254740,2011
"109",5941,47160,345795,2011
"110",5942,40730,244105,2011
"111",5943,17705,108720,2011
"112",5951,10070,59070,2011
"113",5952,21550,133960,2011
"114",5953,6745,62355,2011
"115",6001,0,0,2011
"116",6101,0,0,2011
"117",6201,0,0,2011
