"","Lowincome_LIM_0_17.HR_code","Lowincome_LIM_0_17.Nom","Lowincome_LIM_0_17.Den","Lowincome_LIM_0_17.Year"
"1",1011,8955,54835,2016
"2",1012,2980,14010,2016
"3",1013,2925,12105,2016
"4",1014,705,6600,2016
"5",1100,5895,27075,2016
"6",1211,2120,8630,2016
"7",1212,2315,8910,2016
"8",1223,3775,14410,2016
"9",1234,3060,13860,2016
"10",1235,1540,4960,2016
"11",1246,1900,7700,2016
"12",1247,1385,7025,2016
"13",1258,4910,17855,2016
"14",1269,14540,76465,2016
"15",1301,7400,36865,2016
"16",1302,7930,32835,2016
"17",1303,7140,33020,2016
"18",1304,1655,7825,2016
"19",1305,1015,3465,2016
"20",1306,2530,10760,2016
"21",1307,2050,8945,2016
"22",2401,3785,33515,2016
"23",2402,5530,49780,2016
"24",2403,11635,127985,2016
"25",2404,13960,90325,2016
"26",2405,9190,60845,2016
"27",2406,81095,358105,2016
"28",2407,11355,79885,2016
"29",2408,3125,28250,2016
"30",2409,1370,15105,2016
"31",2410,250,2930,2016
"32",2411,1765,12885,2016
"33",2412,6880,82780,2016
"34",2413,10840,88160,2016
"35",2414,12250,101875,2016
"36",2415,14480,118195,2016
"37",2416,34330,306775,2016
"38",2417,795,5125,2016
"39",2418,0,0,2016
"40",3526,4000,18195,2016
"41",3527,4940,28485,2016
"42",3530,18735,141345,2016
"43",3531,3780,20115,2016
"44",3533,5605,29235,2016
"45",3534,2995,21275,2016
"46",3535,4660,28195,2016
"47",3536,13450,128850,2016
"48",3537,22175,105455,2016
"49",3538,6005,28395,2016
"50",3539,2255,12070,2016
"51",3540,4520,20250,2016
"52",3541,5530,34460,2016
"53",3542,3960,22880,2016
"54",3543,4965,30055,2016
"55",3544,20130,89925,2016
"56",3546,15615,81625,2016
"57",3547,4185,20730,2016
"58",3549,1905,11740,2016
"59",3551,30100,187700,2016
"60",3552,3265,23785,2016
"61",3553,56910,323935,2016
"62",3554,2390,16705,2016
"63",3555,6540,35755,2016
"64",3556,2810,15480,2016
"65",3557,2980,19625,2016
"66",3558,7230,39120,2016
"67",3560,15915,105065,2016
"68",3561,5795,34940,2016
"69",3562,5160,26255,2016
"70",3563,1175,5940,2016
"71",3565,17495,114555,2016
"72",3566,7785,63540,2016
"73",3568,18475,81590,2016
"74",3570,34050,240140,2016
"75",3595,125675,478355,2016
"76",4601,33170,146725,2016
"77",4602,7320,33145,2016
"78",4603,4220,22405,2016
"79",4604,2625,9520,2016
"80",4605,10345,49725,2016
"81",4701,1355,11650,2016
"82",4702,1750,10325,2016
"83",4703,870,6980,2016
"84",4704,9945,58715,2016
"85",4705,1915,10365,2016
"86",4706,12710,75510,2016
"87",4707,865,7505,2016
"88",4708,1550,7585,2016
"89",4709,3800,15165,2016
"90",4710,3120,15485,2016
"91",4711,1035,2830,2016
"92",4712,875,1965,2016
"93",4713,60,225,2016
"94",4831,10210,64465,2016
"95",4832,40635,338540,2016
"96",4833,13090,99935,2016
"97",4834,37695,284440,2016
"98",4835,12080,101015,2016
"99",5911,2370,14650,2016
"100",5912,3115,13680,2016
"101",5913,9725,58055,2016
"102",5914,6505,36615,2016
"103",5921,10660,62310,2016
"104",5922,21780,117150,2016
"105",5923,29295,165780,2016
"106",5931,8655,33845,2016
"107",5932,18290,88930,2016
"108",5933,8115,50180,2016
"109",5941,9305,59415,2016
"110",5942,9625,42855,2016
"111",5943,4580,20700,2016
"112",5951,2560,13620,2016
"113",5952,5085,28785,2016
"114",5953,2145,16160,2016
"115",6001,0,0,2016
"116",6101,0,0,2016
"117",6201,0,0,2016
