"","Lowincome_LIM_0_17.CLSC_code","Lowincome_LIM_0_17.Nom","Lowincome_LIM_0_17.Den","Lowincome_LIM_0_17.Year"
"1",1111,310,3675,2016
"2",1121,575,6255,2016
"3",1131,480,3250,2016
"4",1141,195,1275,2016
"5",1151,870,9635,2016
"6",1161,525,3375,2016
"7",1171,455,3275,2016
"8",1181,435,3145,2016
"9",2111,620,5365,2016
"10",2121,625,4615,2016
"11",2131,0,0,2016
"12",2141,1195,10690,2016
"13",2151,1225,11455,2016
"14",2161,370,3365,2016
"15",3111,880,9875,2016
"16",3121,240,4825,2016
"17",3122,700,8215,2016
"18",3123,1195,10985,2016
"19",3124,470,3300,2016
"20",3125,775,2640,2016
"21",3126,2255,7815,2016
"22",3131,1195,19600,2016
"23",3132,1295,16820,2016
"24",3133,1235,14075,2016
"25",3134,390,6750,2016
"26",3141,125,2040,2016
"27",3142,235,2535,2016
"28",4111,355,1875,2016
"29",4121,320,1745,2016
"30",4122,0,0,2016
"31",4131,0,0,2016
"32",4141,1490,7115,2016
"33",4151,2575,14120,2016
"34",4152,1315,8100,2016
"35",4161,600,4250,2016
"36",4162,530,3755,2016
"37",4171,3045,20970,2016
"38",4181,1830,14160,2016
"39",4182,485,4605,2016
"40",5111,0,0,2016
"41",5121,2525,17380,2016
"42",5131,1220,8480,2016
"43",5141,555,4000,2016
"44",5151,4945,30960,2016
"45",5161,705,6315,2016
"46",5171,575,2700,2016
"47",5181,700,4520,2016
"48",5191,510,4030,2016
"49",6111,0,0,2016
"50",6112,2770,18965,2016
"51",6113,0,0,2016
"52",6121,2035,8505,2016
"53",6122,3525,14705,2016
"54",6211,410,1935,2016
"55",6212,2985,12915,2016
"56",6221,2300,5680,2016
"57",6222,845,6850,2016
"58",6223,1925,7210,2016
"59",6224,2920,9070,2016
"60",6225,1130,2645,2016
"61",6311,2165,5335,2016
"62",6312,1440,5195,2016
"63",6313,2545,11040,2016
"64",6314,890,2500,2016
"65",6321,910,5690,2016
"66",6322,950,6930,2016
"67",6323,1260,3545,2016
"68",6324,380,1085,2016
"69",6411,3285,12265,2016
"70",6412,5800,22345,2016
"71",6421,3060,14750,2016
"72",6422,6085,18335,2016
"73",6431,2005,9645,2016
"74",6432,940,6570,2016
"75",6511,4675,13195,2016
"76",6512,4945,17785,2016
"77",6521,1615,11820,2016
"78",6522,1800,8530,2016
"79",6523,1535,8520,2016
"80",6524,1835,8240,2016
"81",6531,2795,14790,2016
"82",6532,1460,6940,2016
"83",6533,1920,6525,2016
"84",7111,550,2505,2016
"85",7121,815,2875,2016
"86",7131,170,2520,2016
"87",7141,1650,17330,2016
"88",7142,2700,12240,2016
"89",7143,3380,24280,2016
"90",7151,805,5930,2016
"91",7152,0,0,2016
"92",8111,515,4105,2016
"93",8121,515,4890,2016
"94",8131,815,8370,2016
"95",8141,950,8215,2016
"96",8151,0,0,2016
"97",8152,0,0,2016
"98",9111,0,0,2016
"99",9121,0,0,2016
"100",9122,0,0,2016
"101",9123,470,5050,2016
"102",9131,5,70,2016
"103",9141,470,5010,2016
"104",9151,0,0,2016
"105",9161,0,0,2016
"106",9171,0,0,2016
"107",10011,0,0,2016
"108",10012,0,0,2016
"109",10013,0,0,2016
"110",10014,0,0,2016
"111",11111,280,2025,2016
"112",11112,400,2705,2016
"113",11121,0,0,2016
"114",11131,0,0,2016
"115",11132,10,80,2016
"116",11133,0,0,2016
"117",11141,50,295,2016
"118",11211,85,1680,2016
"119",12111,560,6570,2016
"120",12112,910,19755,2016
"121",12113,765,9515,2016
"122",12114,610,7470,2016
"123",12115,0,0,2016
"124",12121,930,6940,2016
"125",12131,440,4080,2016
"126",12132,1110,10705,2016
"127",12141,300,2865,2016
"128",12151,430,3700,2016
"129",12152,345,2960,2016
"130",13111,2345,32250,2016
"131",13112,1100,13020,2016
"132",13113,2830,16025,2016
"133",13114,4585,26840,2016
"134",14111,1545,6910,2016
"135",14112,1850,11355,2016
"136",14113,2105,12025,2016
"137",14114,1385,7730,2016
"138",14121,3090,37870,2016
"139",14122,2250,26000,2016
"140",15111,1125,5265,2016
"141",15121,1250,7275,2016
"142",15131,1050,5820,2016
"143",15141,1275,5490,2016
"144",15151,2360,25970,2016
"145",15161,4345,33860,2016
"146",15171,3095,34725,2016
"147",16111,780,4055,2016
"148",16112,1780,16630,2016
"149",16121,0,0,2016
"150",16122,0,0,2016
"151",16211,2565,10845,2016
"152",16212,2275,13110,2016
"153",16213,1090,17780,2016
"154",16221,0,0,2016
"155",16222,2305,16930,2016
"156",16223,540,3180,2016
"157",16231,1325,7885,2016
"158",16311,2640,34765,2016
"159",16321,0,0,2016
"160",16331,720,3745,2016
"161",16341,0,0,2016
"162",16342,0,0,2016
"163",16343,655,5905,2016
"164",17011,0,0,2016
"165",17012,5,165,2016
"166",18011,0,0,2016
